"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"DST","Vikings ",2600,"Min@Den 04:25PM ET",9.667,"Min"
"DST","Redskins ",2600,"Phi@Was 01:00PM ET",5.333,"Was"
"TE","Jacob Tamme",2600,"Hou@Atl 01:00PM ET",6.133,"Atl"
"TE","Benjamin Watson",2600,"Dal@NO 08:30PM ET",5.100,"NO"
"DST","Buccaneers ",2500,"Car@TB 01:00PM ET",5.667,"TB"
"DST","Jaguars ",2500,"Jax@Ind 01:00PM ET",2.667,"Jax"
"TE","Mike Leach",2500,"StL@Ari 04:25PM ET",0.000,"Ari"
"TE","Daniel Fells",2500,"NYG@Buf 01:00PM ET",6.000,"NYG"
"TE","Marcedes Lewis",2500,"Jax@Ind 01:00PM ET",0.000,"Jax"
"TE","Clark Harris",2500,"KC@Cin 01:00PM ET",0.000,"Cin"
"TE","Brent Celek",2500,"Phi@Was 01:00PM ET",0.533,"Phi"
"TE","Zach Miller",2500,"Oak@Chi 01:00PM ET",2.167,"Chi"
"TE","Brandon Myers",2500,"Car@TB 01:00PM ET",1.600,"TB"
"TE","Darren Fells",2500,"StL@Ari 04:25PM ET",6.833,"Ari"
"TE","David Johnson",2500,"Cle@SD 04:05PM ET",0.067,"SD"
"TE","Clay Harbor",2500,"Jax@Ind 01:00PM ET",4.433,"Jax"
"TE","Ed Dickson",2500,"Car@TB 01:00PM ET",1.933,"Car"
"TE","Garrett Graham",2500,"Hou@Atl 01:00PM ET",3.200,"Hou"
"TE","Andrew DePaola",2500,"Car@TB 01:00PM ET",0.000,"TB"
"TE","Richie Brockel",2500,"Car@TB 01:00PM ET",0.000,"Car"
"TE","Anthony McCoy",2500,"Phi@Was 01:00PM ET",0.000,"Was"
"TE","Jim Dray",2500,"Cle@SD 04:05PM ET",0.767,"Cle"
"TE","Virgil Green",2500,"Min@Den 04:25PM ET",4.267,"Den"
"TE","John Phillips",2500,"Cle@SD 04:05PM ET",2.500,"SD"
"TE","Rob Housler",2500,"Cle@SD 04:05PM ET",0.000,"Cle"
"TE","Kyle Nelson",2500,"GB@SF 04:25PM ET",0.000,"SF"
"TE","Matthew Mulligan",2500,"NYG@Buf 01:00PM ET",0.400,"Buf"
"TE","Lance Kendricks",2500,"StL@Ari 04:25PM ET",5.967,"StL"
"TE","Jermaine Gresham",2500,"StL@Ari 04:25PM ET",2.767,"Ari"
"TE","Lee Smith",2500,"Oak@Chi 01:00PM ET",1.133,"Oak"
"TE","Luke Stocker",2500,"Car@TB 01:00PM ET",0.000,"TB"
"TE","Andrew Quarless",2500,"GB@SF 04:25PM ET",1.133,"GB"
"TE","James Casey",2500,"Min@Den 04:25PM ET",0.000,"Den"
"TE","Rhett Ellison",2500,"Min@Den 04:25PM ET",0.433,"Min"
"TE","Garrett Celek",2500,"GB@SF 04:25PM ET",5.300,"SF"
"TE","James Hanna",2500,"Dal@NO 08:30PM ET",0.000,"Dal"
"TE","Mychal Rivera",2500,"Oak@Chi 01:00PM ET",1.967,"Oak"
"TE","Cory Harkey",2500,"StL@Ari 04:25PM ET",0.000,"StL"
"TE","Kevin McDermott",2500,"Min@Den 04:25PM ET",0.000,"Min"
"TE","MarQueis Gray",2500,"NYG@Buf 01:00PM ET",0.000,"Buf"
"TE","Chris Gragg",2500,"NYG@Buf 01:00PM ET",0,"Buf"
"TE","Josh Hill",2500,"Dal@NO 08:30PM ET",1.067,"NO"
"TE","James Winchester",2500,"KC@Cin 01:00PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"Jax@Ind 01:00PM ET",2.067,"Ind"
"TE","Vance McDonald",2500,"GB@SF 04:25PM ET",0.750,"SF"
"TE","Ryan Hewitt",2500,"KC@Cin 01:00PM ET",0.000,"Cin"
"TE","Levine Toilolo",2500,"Hou@Atl 01:00PM ET",1.667,"Atl"
"TE","Gavin Escobar",2500,"Dal@NO 08:30PM ET",3.800,"Dal"
"TE","Jerome Cunningham",2500,"NYG@Buf 01:00PM ET",1.300,"NYG"
"TE","Nic Jacobs",2500,"Jax@Ind 01:00PM ET",0.000,"Jax"
"TE","Trey Burton",2500,"Phi@Was 01:00PM ET",0.000,"Phi"
"TE","Blake Bell",2500,"GB@SF 04:25PM ET",1.033,"SF"
"TE","James O'Shaughnessy",2500,"KC@Cin 01:00PM ET",2.467,"KC"
"TE","MyCole Pruitt",2500,"Min@Den 04:25PM ET",0.000,"Min"
"TE","Cameron Brate",2500,"Car@TB 01:00PM ET",0.000,"TB"
"TE","Chase Ford",2500,"Min@Den 04:25PM ET",0,"Min"
"TE","Clive Walford",2500,"Oak@Chi 01:00PM ET",0.833,"Oak"
"TE","C.J. Fiedorowicz",2500,"Hou@Atl 01:00PM ET",1.800,"Hou"
"TE","Brian Parker",2500,"KC@Cin 01:00PM ET",0,"KC"
"TE","Kyle Miller",2500,"Cle@SD 04:05PM ET",0.000,"SD"
"TE","Tyler Kroft",2500,"KC@Cin 01:00PM ET",0.000,"Cin"
"TE","C.J. Uzomah",2500,"KC@Cin 01:00PM ET",0,"Cin"
"TE","Demetrius Harris",2500,"KC@Cin 01:00PM ET",0.000,"KC"
"TE","Mitchell Henry",2500,"Min@Den 04:25PM ET",0.000,"Den"
"TE","Richard Rodgers",2500,"GB@SF 04:25PM ET",7.867,"GB"
"TE","Kennard Backman",2500,"GB@SF 04:25PM ET",0,"GB"
"TE","Troy Niklas",2500,"StL@Ari 04:25PM ET",0.000,"Ari"
"TE","Derek Carrier",2500,"Phi@Was 01:00PM ET",0.933,"Was"
"TE","Geoff Swaim",2500,"Dal@NO 08:30PM ET",1.000,"Dal"
"TE","E.J. Bibbs",2500,"Cle@SD 04:05PM ET",0,"Cle"
"TE","Khari Lee",2500,"Oak@Chi 01:00PM ET",0.000,"Chi"
"DST","Saints ",2400,"Dal@NO 08:30PM ET",5.000,"NO"
"DST","49ers ",2300,"GB@SF 04:25PM ET",4.000,"SF"
